MO,DY,HR,ALLSKY_SFC_SW_DWN,SZA
1,10,10,373.34,58.48
1,10,11,449.52,55.78
1,10,12,394.12,56.66
1,10,13,369.75,60.97
1,10,14,256.2,68.05
1,10,15,124.84,77.13
1,10,16,22.52,87.13
1,10,17,0,-999
1,10,18,0,-999
1,10,19,0,-999
1,10,20,0,-999
1,10,21,0,-999
1,10,22,0,-999
1,10,23,0,-999
1,11,0,0,-999
1,11,1,0,-999
1,11,2,0,-999
1,11,3,0,-999
1,11,4,0,-999
1,11,5,0,-999
1,11,6,0,-999
1,11,7,89.78,82.06
1,11,8,218.56,72.45
1,11,9,357.67,64.23
1,11,10,485.37,58.37
1,11,11,521.53,55.63
1,11,12,519.38,56.5
1,11,13,443.94,60.8
1,11,14,323.38,67.88
1,11,15,163.08,76.96
1,11,16,26.3,87.02
1,11,17,0,-999
1,11,18,0,-999
1,11,19,0,-999
1,11,20,0,-999
1,11,21,0,-999
1,11,22,0,-999
1,11,23,0,-999
1,12,0,0,-999
1,12,1,0,-999
1,12,2,0,-999
1,12,3,0,-999
1,12,4,0,-999
1,12,5,0,-999
1,12,6,0,-999
1,12,7,48.05,82.02
1,12,8,188.21,72.39
1,12,9,297.33,64.14
1,12,10,354.02,58.24
1,12,11,341.88,55.48
1,12,12,320.58,56.33
1,12,13,192.94,60.62
1,12,14,114.04,67.7
1,12,15,48.95,76.78
1,12,16,16.63,86.88
1,12,17,0,-999
1,12,18,0,-999
1,12,19,0,-999
1,12,20,0,-999
1,12,21,0,-999
1,12,22,0,-999
1,12,23,0,-999
1,13,0,0,-999
1,13,1,0,-999
1,13,2,0,-999
1,13,3,0,-999
1,13,4,0,-999
1,13,5,0,-999
1,13,6,0,-999
1,13,7,64.66,81.98
1,13,8,174.64,72.33
1,13,9,296.94,64.05
1,13,10,377.94,58.12
1,13,11,492.45,55.33
1,13,12,413.62,56.15
1,13,13,386.38,60.43
1,13,14,286.14,67.51
1,13,15,149.54,76.6
1,13,16,30.53,86.76
1,13,17,0,-999
1,13,18,0,-999
1,13,19,0,-999
1,13,20,0,-999
1,13,21,0,-999
1,13,22,0,-999
1,13,23,0,-999
1,14,0,0,-999
1,14,1,0,-999
1,14,2,0,-999
1,14,3,0,-999
1,14,4,0,-999
1,14,5,0,-999
1,14,6,0,-999
1,14,7,93.23,81.93
1,14,8,255.2,72.26
1,14,9,374.81,63.95
1,14,10,497.37,57.98
1,14,11,469.15,55.16
1,14,12,521.71,55.96
1,14,13,403.7,60.23
1,14,14,306.59,67.32
1,14,15,154.11,76.42
1,14,16,26.04,86.62
1,14,17,0,-999
1,14,18,0,-999
1,14,19,0,-999
1,14,20,0,-999
1,14,21,0,-999
1,14,22,0,-999
1,14,23,0,-999
1,15,0,0,-999
1,15,1,0,-999
1,15,2,0,-999
1,15,3,0,-999
1,15,4,0,-999
1,15,5,0,-999
1,15,6,0,-999
1,15,7,57.71,81.87
1,15,8,182.08,72.18
1,15,9,311.04,63.84
1,15,10,406.7,57.84
1,15,11,445.2,54.99
1,15,12,378.7,55.77
1,15,13,348.51,60.04
1,15,14,241.15,67.12
1,15,15,132.48,76.23
1,15,16,26.05,86.48
1,15,17,0,-999
1,15,18,0,-999
1,15,19,0,-999
1,15,20,0,-999
1,15,21,0,-999
1,15,22,0,-999
1,15,23,0,-999
1,16,0,0,-999
1,16,1,0,-999
1,16,2,0,-999
1,16,3,0,-999
1,16,4,0,-999
1,16,5,0,-999
1,16,6,0,-999
1,16,7,32.38,81.8
1,16,8,83.96,72.1
1,16,9,150.55,63.73
1,16,10,151.97,57.7
1,16,11,276.14,54.81
1,16,12,361,55.58
1,16,13,255.33,59.84
1,16,14,183.16,66.93
1,16,15,102.05,76.05
1,16,16,19.39,86.34
1,16,17,0,-999
1,16,18,0,-999
1,16,19,0,-999
1,16,20,0,-999
1,16,21,0,-999
1,16,22,0,-999
1,16,23,0,-999
1,17,0,0,-999
1,17,1,0,-999
1,17,2,0,-999
1,17,3,0,-999
1,17,4,0,-999
1,17,5,0,-999
1,17,6,0,-999
1,17,7,47.88,81.73
1,17,8,143.84,72.01
1,17,9,244.38,63.6
1,17,10,320.77,57.55
1,17,11,363.67,54.63
1,17,12,327.58,55.38
1,17,13,244.91,59.63
1,17,14,162.43,66.73
1,17,15,85.84,75.85
1,17,16,18.01,86.19
1,17,17,0,-999
1,17,18,0,-999
1,17,19,0,-999
1,17,20,0,-999
1,17,21,0,-999
1,17,22,0,-999
1,17,23,0,-999
1,18,0,0,-999
1,18,1,0,-999
1,18,2,0,-999
1,18,3,0,-999
1,18,4,0,-999
1,18,5,0,-999
1,18,6,0,-999
1,18,7,49.96,81.64
1,18,8,130.43,71.91
1,18,9,199.94,63.48
1,18,10,230.87,57.38
1,18,11,269.88,54.44
1,18,12,239.74,55.16
1,18,13,190.98,59.41
1,18,14,163.23,66.52
1,18,15,81.48,75.66
1,18,16,24.05,86.03
1,18,17,0,-999
1,18,18,0,-999
1,18,19,0,-999
1,18,20,0,-999
1,18,21,0,-999
1,18,22,0,-999
1,18,23,0,-999
1,19,0,0,-999
1,19,1,0,-999
1,19,2,0,-999
1,19,3,0,-999
1,19,4,0,-999
1,19,5,0,-999
1,19,6,0,-999
1,19,7,35.7,81.55
1,19,8,107.54,71.81
1,19,9,152.02,63.34
1,19,10,159.05,57.22
1,19,11,193.62,54.24
1,19,12,218.39,54.95
1,19,13,161.52,59.2
1,19,14,104.38,66.31
1,19,15,50.24,75.46
1,19,16,20.22,85.88
1,19,17,0,-999
1,19,18,0,-999
1,19,19,0,-999
1,19,20,0,-999
1,19,21,0,-999
1,19,22,0,-999
1,19,23,0,-999
1,20,0,0,-999
1,20,1,0,-999
1,20,2,0,-999
1,20,3,0,-999
1,20,4,0,-999
1,20,5,0,-999
1,20,6,0,-999
1,20,7,42.73,81.45
